P(a | a ) = 0.00040129258453545105
P(  | a ) = 7.040220781323702e-06
P(b | a ) = 0.02801303848888701
P(c | a ) = 0.034982857062397475
P(d | a ) = 0.04471244218218683
P(e | a ) = 0.000922268922353405
P(f | a ) = 0.008624270457121535
P(g | a ) = 0.021099541681627136
P(h | a ) = 0.003991805183010539
P(i | a ) = 0.047838300209094554
P(j | a ) = 0.000330890376722214
P(k | a ) = 0.014918227835624924
P(l | a ) = 0.11159453960476201
P(m | a ) = 0.025337754591984004
P(n | a ) = 0.20689096810075963
P(o | a ) = 0.00047169479234868806
P(p | a ) = 0.02215557479882569
P(q | a ) = 9.152287015720812e-05
P(r | a ) = 0.10965143866911667
P(s | a ) = 0.09879541822431552
P(t | a ) = 0.14396547475728838
P(u | a ) = 0.008103294119303581
P(v | a ) = 0.023704423370716907
P(w | a ) = 0.011806450250279849
P(x | a ) = 0.00044353390922339327
P(y | a ) = 0.0286044170345182
P(z | a ) = 0.0025415197020578566
P(a |   ) = 0.037037037037037035
P(  |   ) = 0.037037037037037035
P(b |   ) = 0.037037037037037035
P(c |   ) = 0.037037037037037035
P(d |   ) = 0.037037037037037035
P(e |   ) = 0.037037037037037035
P(f |   ) = 0.037037037037037035
P(g |   ) = 0.037037037037037035
P(h |   ) = 0.037037037037037035
P(i |   ) = 0.037037037037037035
P(j |   ) = 0.037037037037037035
P(k |   ) = 0.037037037037037035
P(l |   ) = 0.037037037037037035
P(m |   ) = 0.037037037037037035
P(n |   ) = 0.037037037037037035
P(o |   ) = 0.037037037037037035
P(p |   ) = 0.037037037037037035
P(q |   ) = 0.037037037037037035
P(r |   ) = 0.037037037037037035
P(s |   ) = 0.037037037037037035
P(t |   ) = 0.037037037037037035
P(u |   ) = 0.037037037037037035
P(v |   ) = 0.037037037037037035
P(w |   ) = 0.037037037037037035
P(x |   ) = 0.037037037037037035
P(y |   ) = 0.037037037037037035
P(z |   ) = 0.037037037037037035
P(a | b ) = 0.05980256729894545
P(  | b ) = 3.36915872106735e-05
P(b | b ) = 0.028469391193019104
P(c | b ) = 0.0006401401570027964
P(d | b ) = 0.0009096728546881843
P(e | b ) = 0.26377143627236277
P(f | b ) = 0.00016845793605336747
P(g | b ) = 0.00016845793605336747
P(h | b ) = 0.0013813550756376133
P(i | b ) = 0.03433172736767629
P(j | b ) = 0.005828644587446514
P(k | b ) = 3.36915872106735e-05
P(l | b ) = 0.12711835854587109
P(m | b ) = 0.0011118223779522252
P(n | b ) = 0.00043799063373875546
P(o | b ) = 0.1591253663960109
P(p | b ) = 3.36915872106735e-05
P(q | b ) = 3.36915872106735e-05
P(r | b ) = 0.06121761396179374
P(s | b ) = 0.028199858495333716
P(t | b ) = 0.008928270610828477
P(u | b ) = 0.12792695663892725
P(v | b ) = 0.0008422896802668374
P(w | b ) = 0.0006401401570027964
P(x | b ) = 3.36915872106735e-05
P(y | b ) = 0.08877733230012466
P(z | b ) = 3.36915872106735e-05
P(a | c ) = 0.13187359450822583
P(  | c ) = 2.3671440407148776e-05
P(b | c ) = 0.00011835720203574388
P(c | c ) = 0.016546336844596995
P(d | c ) = 0.00021304296366433898
P(e | c ) = 0.16075275180494733
P(f | c ) = 0.00011835720203574388
P(g | c ) = 2.3671440407148776e-05
P(h | c ) = 0.1651082968398627
P(i | c ) = 0.054373298615220736
P(j | c ) = 2.3671440407148776e-05
P(k | c ) = 0.09783406320274589
P(l | c ) = 0.036383003905787664
P(m | c ) = 0.00021304296366433898
P(n | c ) = 7.101432122144633e-05
P(o | c ) = 0.16614984021777726
P(p | c ) = 0.00016570008285004143
P(q | c ) = 0.0008285004142502071
P(r | c ) = 0.0609066161675938
P(s | c ) = 0.002012072434607646
P(t | c ) = 0.05716652858326429
P(u | c ) = 0.041827435199431884
P(v | c ) = 2.3671440407148776e-05
P(w | c ) = 0.00016570008285004143
P(x | c ) = 2.3671440407148776e-05
P(y | c ) = 0.006888389158480293
P(z | c ) = 0.00016570008285004143
P(a | d ) = 0.07273323202526742
P(  | d ) = 2.9796489973481124e-05
P(b | d ) = 0.008611185602336044
P(c | d ) = 0.005571943625040971
P(d | d ) = 0.0280980900449927
P(e | d ) = 0.295908941926641
P(f | d ) = 0.011292869699949346
P(g | d ) = 0.009862638181222252
P(h | d ) = 0.012305950359047704
P(i | d ) = 0.1584875301689461
P(j | d ) = 0.0010428771490718393
P(k | d ) = 0.0008640982092309525
P(l | d ) = 0.03685825809719615
P(m | d ) = 0.008372813682548197
P(n | d ) = 0.015285599356395816
P(o | d ) = 0.10187419921933197
P(p | d ) = 0.004320491046154763
P(q | d ) = 0.0002681684097613301
P(r | d ) = 0.04984952772563392
P(s | d ) = 0.08977682429009863
P(t | d ) = 0.0190995500730014
P(u | d ) = 0.024045767408599268
P(v | d ) = 0.006823396203927177
P(w | d ) = 0.012901880158517327
P(x | d ) = 8.938946992044337e-05
P(y | d ) = 0.025595184887220287
P(z | d ) = 2.9796489973481124e-05
P(a | e ) = 0.08593537619249322
P(  | e ) = 6.32203164809043e-06
P(b | e ) = 0.0055317776920791265
P(c | e ) = 0.028038210359281057
P(d | e ) = 0.11851912730675129
P(e | e ) = 0.06120358838516345
P(f | e ) = 0.013484893505376887
P(g | e ) = 0.013054995353306738
P(h | e ) = 0.008022658161426756
P(i | e ) = 0.020198891115648925
P(j | e ) = 0.0005247286267915058
P(k | e ) = 0.0015488977537821554
P(l | e ) = 0.053263116635161874
P(m | e ) = 0.03218546312042838
P(n | e ) = 0.1132339088489477
P(o | e ) = 0.006467438375996511
P(p | e ) = 0.0151286217338804
P(q | e ) = 0.007377810933321532
P(r | e ) = 0.18827642451178112
P(s | e ) = 0.11408106108979181
P(t | e ) = 0.04524678050538321
P(u | e ) = 0.0023707618680339116
P(v | e ) = 0.02513007580115946
P(w | e ) = 0.014483774505775177
P(x | e ) = 0.009628454200041726
P(y | e ) = 0.016393028063498485
P(z | e ) = 0.0006638133230494952
P(a | f ) = 0.0947680543092349
P(  | f ) = 3.90152549646912e-05
P(b | f ) = 0.002223869532987398
P(c | f ) = 0.002770083102493075
P(d | f ) = 0.001599625453552339
P(e | f ) = 0.10686278334828918
P(f | f ) = 0.06433615543677577
P(g | f ) = 0.0006632593343997503
P(h | f ) = 0.005423120440092076
P(i | f ) = 0.1369045296711014
P(j | f ) = 0.00019507627482345596
P(k | f ) = 0.00019507627482345596
P(l | f ) = 0.0558308298544731
P(m | f ) = 0.0029261441223518395
P(n | f ) = 0.0009753813741172799
P(o | f ) = 0.24349420623463774
P(p | f ) = 0.0016776559634817214
P(q | f ) = 0.00027310678475283835
P(r | f ) = 0.11903554289727283
P(s | f ) = 0.00784206624790293
P(t | f ) = 0.08579454566735593
P(u | f ) = 0.05879598923178963
P(v | f ) = 0.0005852288244703679
P(w | f ) = 0.003394327181928134
P(x | f ) = 3.90152549646912e-05
P(y | f ) = 0.0033162966719987516
P(z | f ) = 3.90152549646912e-05
P(a | g ) = 0.09559553596250844
P(  | g ) = 3.9715636045911274e-05
P(b | g ) = 0.0026609476150760555
P(c | g ) = 0.0016283410778823622
P(d | g ) = 0.0018666348941578299
P(e | g ) = 0.17756860876126931
P(f | g ) = 0.0038524166964533937
P(g | g ) = 0.02529886016124548
P(h | g ) = 0.22705429127447477
P(i | g ) = 0.06644425910480957
P(j | g ) = 0.00027800945232137893
P(k | g ) = 0.00011914690813773382
P(l | g ) = 0.060248619881647404
P(m | g ) = 0.003931847968545216
P(n | g ) = 0.029429286310020255
P(o | g ) = 0.09059136582072362
P(p | g ) = 0.002263791254616943
P(q | g ) = 0.00011914690813773382
P(r | g ) = 0.0894793280114381
P(s | g ) = 0.05659478136542357
P(t | g ) = 0.0207712776520116
P(u | g ) = 0.032288812105325866
P(v | g ) = 0.001151753445331427
P(w | g ) = 0.005123317049922554
P(x | g ) = 3.9715636045911274e-05
P(y | g ) = 0.005441042138289845
P(z | g ) = 0.00011914690813773382
P(a | h ) = 0.20202895185704461
P(  | h ) = 8.93024584966824e-06
P(b | h ) = 0.0007054894221237911
P(c | h ) = 0.00047330303003241677
P(d | h ) = 0.0005804659802284357
P(e | h ) = 0.46707864867519805
P(f | h ) = 0.0008840943391171559
P(g | h ) = 0.00016967467114369658
P(h | h ) = 0.0013127461399012315
P(i | h ) = 0.1696478804061476
P(j | h ) = 4.4651229248341207e-05
P(k | h ) = 9.823270434635066e-05
P(l | h ) = 0.001669955973887961
P(m | h ) = 0.0016163744987899517
P(n | h ) = 0.0011698622063065396
P(o | h ) = 0.07873797765652489
P(p | h ) = 0.0004554425383330803
P(q | h ) = 0.00011609319604568713
P(r | h ) = 0.014672393931004921
P(s | h ) = 0.0034024236687236
P(t | h ) = 0.03299725841452415
P(u | h ) = 0.01411871868832549
P(v | h ) = 0.0001518141794443601
P(w | h ) = 0.0012770251565025585
P(x | h ) = 8.93024584966824e-06
P(y | h ) = 0.006563730699506157
P(z | h ) = 8.93024584966824e-06
P(a | i ) = 0.015953898457655862
P(  | i ) = 8.03722844214401e-06
P(b | i ) = 0.00841497817892478
P(c | i ) = 0.04426101703088707
P(d | i ) = 0.035741554882214414
P(e | i ) = 0.0321408765401339
P(f | i ) = 0.020036810506265018
P(g | i ) = 0.035741554882214414
P(h | i ) = 0.00016878179728502422
P(i | i ) = 8.840951286358412e-05
P(j | i ) = 0.00026522853859075235
P(k | i ) = 0.013173017416674034
P(l | i ) = 0.059226336390159215
P(m | i ) = 0.04474325073741571
P(n | i ) = 0.3119489475249355
P(o | i ) = 0.03371617331479412
P(p | i ) = 0.0183168436196462
P(q | i ) = 0.0005224198487393607
P(r | i ) = 0.040483519663079386
P(s | i ) = 0.13529066636661014
P(t | i ) = 0.1218041970406925
P(u | i ) = 0.000715313331350817
P(v | i ) = 0.021370990427660927
P(w | i ) = 4.018614221072006e-05
P(x | i ) = 0.0021620144509367388
P(y | i ) = 8.03722844214401e-06
P(z | i ) = 0.003656938941175525
P(a | j ) = 0.2176991150442478
P(  | j ) = 0.0005899705014749262
P(b | j ) = 0.0005899705014749262
P(c | j ) = 0.0005899705014749262
P(d | j ) = 0.0005899705014749262
P(e | j ) = 0.25899705014749264
P(f | j ) = 0.0005899705014749262
P(g | j ) = 0.0005899705014749262
P(h | j ) = 0.0005899705014749262
P(i | j ) = 0.018289085545722714
P(j | j ) = 0.0005899705014749262
P(k | j ) = 0.0005899705014749262
P(l | j ) = 0.0005899705014749262
P(m | j ) = 0.0005899705014749262
P(n | j ) = 0.0005899705014749262
P(o | j ) = 0.2200589970501475
P(p | j ) = 0.0005899705014749262
P(q | j ) = 0.0005899705014749262
P(r | j ) = 0.0005899705014749262
P(s | j ) = 0.0005899705014749262
P(t | j ) = 0.0005899705014749262
P(u | j ) = 0.271976401179941
P(v | j ) = 0.0005899705014749262
P(w | j ) = 0.0005899705014749262
P(x | j ) = 0.0005899705014749262
P(y | j ) = 0.0005899705014749262
P(z | j ) = 0.0005899705014749262
P(a | k ) = 0.013161335308986315
P(  | k ) = 8.716116098666435e-05
P(b | k ) = 0.004968186176239868
P(c | k ) = 0.0018303843807199512
P(d | k ) = 0.00026148348295999303
P(e | k ) = 0.48261134838316044
P(f | k ) = 0.00461954153229321
P(g | k ) = 0.0014817397367732938
P(h | k ) = 0.007583021005839798
P(i | k ) = 0.16726226793340887
P(j | k ) = 0.00026148348295999303
P(k | k ) = 0.0021790290246666085
P(l | k ) = 0.03320840233591912
P(m | k ) = 0.0021790290246666085
P(n | k ) = 0.09805630610999738
P(o | k ) = 0.014032946918852958
P(p | k ) = 0.0016560620587466226
P(q | k ) = 8.716116098666435e-05
P(r | k ) = 0.0021790290246666085
P(s | k ) = 0.11827769545890351
P(t | k ) = 0.00601412010807984
P(u | k ) = 0.009151921903599756
P(v | k ) = 0.0006101281269066504
P(w | k ) = 0.008105987971759784
P(x | k ) = 8.716116098666435e-05
P(y | k ) = 0.019959905865946134
P(z | k ) = 8.716116098666435e-05
P(a | l ) = 0.09839150561118666
P(  | l ) = 1.3736075053914095e-05
P(b | l ) = 0.0024312852845427948
P(c | l ) = 0.002211508083680169
P(d | l ) = 0.06729303168912515
P(e | l ) = 0.2269611681158226
P(f | l ) = 0.018062938695897035
