P(a | a ) = 0.00023840867392949322
P(  | a ) = 1.0365594518673618e-05
P(b | a ) = 0.025758502378903942
P(c | a ) = 0.03490095674437407
P(d | a ) = 0.014169767707026836
P(e | a ) = 0.0005079141314150073
P(f | a ) = 0.002912732059747287
P(g | a ) = 0.028038933173012138
P(h | a ) = 0.0020834844982533973
P(i | a ) = 0.240575083183896
P(j | a ) = 0.0011920433696474661
P(k | a ) = 0.00030060224104153495
P(l | a ) = 0.04879085339939672
P(m | a ) = 0.021819576461807967
P(n | a ) = 0.1747328268012812
P(o | a ) = 0.0006115700766017435
P(p | a ) = 0.043815368030433385
P(q | a ) = 0.003949291511614649
P(r | a ) = 0.10275413846361157
P(s | a ) = 0.05179687580981207
P(t | a ) = 0.05654431809936459
P(u | a ) = 0.09203611373130306
P(v | a ) = 0.04514216412882361
P(w | a ) = 7.255916163071533e-05
P(x | a ) = 0.0021871404434401333
P(y | a ) = 0.004363915292361594
P(z | a ) = 0.0006944948327511324
P(a |   ) = 0.037037037037037035
P(  |   ) = 0.037037037037037035
P(b |   ) = 0.037037037037037035
P(c |   ) = 0.037037037037037035
P(d |   ) = 0.037037037037037035
P(e |   ) = 0.037037037037037035
P(f |   ) = 0.037037037037037035
P(g |   ) = 0.037037037037037035
P(h |   ) = 0.037037037037037035
P(i |   ) = 0.037037037037037035
P(j |   ) = 0.037037037037037035
P(k |   ) = 0.037037037037037035
P(l |   ) = 0.037037037037037035
P(m |   ) = 0.037037037037037035
P(n |   ) = 0.037037037037037035
P(o |   ) = 0.037037037037037035
P(p |   ) = 0.037037037037037035
P(q |   ) = 0.037037037037037035
P(r |   ) = 0.037037037037037035
P(s |   ) = 0.037037037037037035
P(t |   ) = 0.037037037037037035
P(u |   ) = 0.037037037037037035
P(v |   ) = 0.037037037037037035
P(w |   ) = 0.037037037037037035
P(x |   ) = 0.037037037037037035
P(y |   ) = 0.037037037037037035
P(z |   ) = 0.037037037037037035
P(a | b ) = 0.15043208322845877
P(  | b ) = 8.389965601141036e-05
P(b | b ) = 0.0009228962161255138
P(c | b ) = 8.389965601141036e-05
P(d | b ) = 0.0017618927762396174
P(e | b ) = 0.0858293480996728
P(f | b ) = 8.389965601141036e-05
P(g | b ) = 8.389965601141036e-05
P(h | b ) = 8.389965601141036e-05
P(i | b ) = 0.12727577816930952
P(j | b ) = 0.00713147076096988
P(k | b ) = 8.389965601141036e-05
P(l | b ) = 0.2581592415471097
P(m | b ) = 0.0010906955281483346
P(n | b ) = 8.389965601141036e-05
P(o | b ) = 0.11787901669603154
P(p | b ) = 8.389965601141036e-05
P(q | b ) = 8.389965601141036e-05
P(r | b ) = 0.1724137931034483
P(s | b ) = 0.051094890510948905
P(t | b ) = 0.0044466817686047485
P(u | b ) = 0.017535028106384763
P(v | b ) = 8.389965601141036e-05
P(w | b ) = 8.389965601141036e-05
P(x | b ) = 8.389965601141036e-05
P(y | b ) = 0.0029364879603993622
P(z | b ) = 8.389965601141036e-05
P(a | c ) = 0.11913688882087382
P(  | c ) = 2.5505649501364554e-05
P(b | c ) = 2.5505649501364554e-05
P(c | c ) = 0.017777437702451094
P(d | c ) = 2.5505649501364554e-05
P(e | c ) = 0.2976764353304257
P(f | c ) = 2.5505649501364554e-05
P(g | c ) = 2.5505649501364554e-05
P(h | c ) = 0.12571734639222587
P(i | c ) = 0.06776851072512562
P(j | c ) = 2.5505649501364554e-05
P(k | c ) = 0.0010967429285586756
P(l | c ) = 0.023235646695743108
P(m | c ) = 7.651694850409365e-05
P(n | c ) = 0.0004335960415231974
P(o | c ) = 0.22166959981635934
P(p | c ) = 2.5505649501364554e-05
P(q | c ) = 0.00022955084551228098
P(r | c ) = 0.03966128497462188
P(s | c ) = 0.00594281633381794
P(t | c ) = 0.03221363532022343
P(u | c ) = 0.045374550462927536
P(v | c ) = 2.5505649501364554e-05
P(w | c ) = 2.5505649501364554e-05
P(x | c ) = 2.5505649501364554e-05
P(y | c ) = 0.001708878516591425
P(z | c ) = 2.5505649501364554e-05
P(a | d ) = 0.10561433411627762
P(  | d ) = 2.0786131493067825e-05
P(b | d ) = 6.235839447920348e-05
P(c | d ) = 0.00010393065746533913
P(d | d ) = 0.00039493649836828867
P(e | d ) = 0.5414163669999377
P(f | d ) = 6.235839447920348e-05
P(g | d ) = 0.00027021970940988173
P(h | d ) = 0.004635307322954125
P(i | d ) = 0.12369826851524662
P(j | d ) = 0.00014550292045147477
P(k | d ) = 2.0786131493067825e-05
P(l | d ) = 0.00014550292045147477
P(m | d ) = 0.004801596374898668
P(n | d ) = 0.0008106591282296451
P(o | d ) = 0.057182647737429586
P(p | d ) = 2.0786131493067825e-05
P(q | d ) = 2.0786131493067825e-05
P(r | d ) = 0.03564821551061132
P(s | d ) = 0.014945228543515767
P(t | d ) = 0.00022864744642374607
P(u | d ) = 0.10806709763245963
P(v | d ) = 0.00043650876135442433
P(w | d ) = 0.00039493649836828867
P(x | d ) = 2.0786131493067825e-05
P(y | d ) = 0.0008106591282296451
P(z | d ) = 2.0786131493067825e-05
P(a | e ) = 0.020439471787445363
P(  | e ) = 6.612575796650069e-06
P(b | e ) = 0.002598742288083477
P(c | e ) = 0.03293724004311399
P(d | e ) = 0.013099512653163788
P(e | e ) = 0.017953143287904937
P(f | e ) = 0.007399472316451427
P(g | e ) = 0.009885800815991854
