P(a | a ) = 0.0027463109118858126
P(  | a ) = 3.6863233716588086e-06
P(b | a ) = 0.009794561198497455
P(c | a ) = 0.04119466367828719
P(d | a ) = 0.038754317606249054
P(e | a ) = 0.011269090547160979
P(f | a ) = 0.007059309256726619
P(g | a ) = 0.03537764539780959
P(h | a ) = 0.0020680274115005915
P(i | a ) = 0.02762899367058277
P(j | a ) = 1.1058970114976427e-05
P(k | a ) = 0.0020901453517305447
P(l | a ) = 0.1362428254931379
P(m | a ) = 0.04345806622848569
P(n | a ) = 0.1905202508174422
P(o | a ) = 0.001271781563222289
P(p | a ) = 0.025336100533410993
P(q | a ) = 0.0007262057042167853
P(r | a ) = 0.15321465829625505
P(s | a ) = 0.05477507897947824
P(t | a ) = 0.11629244340572044
P(u | a ) = 0.005171911690437308
P(v | a ) = 0.08086687580407928
P(w | a ) = 4.054955708824689e-05
P(x | a ) = 0.00012164867126474069
P(y | a ) = 0.0012422909762490185
P(z | a ) = 0.01272150195559455
P(a |   ) = 0.037037037037037035
P(  |   ) = 0.037037037037037035
P(b |   ) = 0.037037037037037035
P(c |   ) = 0.037037037037037035
P(d |   ) = 0.037037037037037035
P(e |   ) = 0.037037037037037035
P(f |   ) = 0.037037037037037035
P(g |   ) = 0.037037037037037035
P(h |   ) = 0.037037037037037035
P(i |   ) = 0.037037037037037035
P(j |   ) = 0.037037037037037035
P(k |   ) = 0.037037037037037035
P(l |   ) = 0.037037037037037035
P(m |   ) = 0.037037037037037035
P(n |   ) = 0.037037037037037035
P(o |   ) = 0.037037037037037035
P(p |   ) = 0.037037037037037035
P(q |   ) = 0.037037037037037035
P(r |   ) = 0.037037037037037035
P(s |   ) = 0.037037037037037035
P(t |   ) = 0.037037037037037035
P(u |   ) = 0.037037037037037035
P(v |   ) = 0.037037037037037035
P(w |   ) = 0.037037037037037035
P(x |   ) = 0.037037037037037035
P(y |   ) = 0.037037037037037035
P(z |   ) = 0.037037037037037035
P(a | b ) = 0.17158534776805576
P(  | b ) = 2.966038855109002e-05
P(b | b ) = 0.19139848732018389
P(c | b ) = 8.898116565327005e-05
P(d | b ) = 0.00014830194275545008
P(e | b ) = 0.24294824262197834
P(f | b ) = 2.966038855109002e-05
P(g | b ) = 2.966038855109002e-05
P(h | b ) = 0.0009194720450837906
P(i | b ) = 0.17022096989470561
P(j | b ) = 2.966038855109002e-05
P(k | b ) = 2.966038855109002e-05
